  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
Standard errors in parentheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.647825384,0.043479199,83.89817265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.014419367,0.019759788,-0.7297329,0.465777431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2017reduc,0.015373901,0.016689024,0.92119835,0.357238049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.648839059,0.041891515,87.10210245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.011142816,0.015671767,-0.71101214,0.477294288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2017reduc, 1)",0.006607398,0.018878047,0.350004302,0.726432187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.655043072,0.042003208,87.01818934,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.013653563,0.017415807,-0.783975303,0.433298544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2017reduc, 2)",-0.002922227,0.020366115,-0.143484748,0.885945341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.653761745,0.040423328,90.38745556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.022200267,0.01927597,-1.151706891,0.249802761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 1)",0.017572553,0.013674306,1.28507828,0.199155394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.665660463,0.038604954,94.95311079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.039003988,0.019831772,-1.966742505,0.049575885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 2)",0.023560147,0.011141576,2.114615308,0.034787305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.670007322,0.036494438,100.5634708,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.048098458,0.019918834,-2.414722529,0.015982368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 3)",0.031576637,0.01103622,2.861182296,0.004336529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.666495874,0.034043762,107.6994929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.042808822,0.017695069,-2.419251472,0.01578659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 4)",0.029071362,0.01169874,2.484999446,0.013169556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.660630523,0.035748942,102.398289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.03471153,0.020066811,-1.729798019,0.084073438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 5)",0.027471486,0.012349228,2.224550945,0.026405127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.642061994,0.037217074,97.85997589,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.012974242,0.023003132,-0.564020682,0.572907112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2017reduc, 6)",0.02769357,0.013793617,2.007709035,0.045029127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),5.053613859,0.675107156,7.485647001,1.97E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.015532017,0.020765962,-0.747955594,0.454718317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
