,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.178*** ,3.19*** ,3.134*** ,3.125*** ,3.108*** ,3.095*** ,3.097*** ,3.091*** ,3.075*** ,5.54,6.453,4.048,4.958,3.923,2.979,2.592,3.13,2.898,2.634*** ,2.653*** ,2.562*** ,2.609*** ,2.623*** ,2.62*** ,2.622*** ,2.618*** ,2.6*** ,4.447,6.588,2.2,1.564,2.399,5.912,5.463,3.658,5.597
  ,, , , , ,-0.179, , , , , , , , ,-0.179, , , , , , , , ,-0.178, , , , , , , , ,-0.178, , , 
lag(jan2017reduc,, , , , ,0.037, , , , , , , , ,0.036, , , , , , , , ,0.093, , , , , , , , ,0.096, , , 
  ,, , , , ,-0.113, , , , , , , , ,-0.13, , , , , , , , ,-0.122, , , , , , , , ,-0.144, , , 
lag(jan2017reduc_olive,, , , , ,-0.005, , , , , , , , ,-0.003, , , , , , , , ,-0.157, , , , , , , , ,-0.157, , , 
  ,, , , , ,-0.137, , , , , , , , ,-0.139, , , , , , , , ,-0.138, , , , , , , , ,-0.139, , , 
lag(jan2016reduc,, , , , , ,-0.034, , , , , , , , ,-0.029, , , , , , , , ,-0.068, , , , , , , , ,-0.074, , 
  ,, , , , , ,-0.145, , , , , , , , ,-0.158, , , , , , , , ,-0.147, , , , , , , , ,-0.163, , 
lag(jan2016reduc_olive,, , , , , ,0.03, , , , , , , , ,0.033, , , , , , , , ,0, , , , , , , , ,0.002, , 
  ,, , , , , ,-0.177, , , , , , , , ,-0.177, , , , , , , , ,-0.176, , , , , , , , ,-0.176, , 
lag(jan2017reduc,, , , , , ,0.013, , , , , , , , ,0.003, , , , , , , , ,0.049, , , , , , , , ,0.058, , 
  ,, , , , , ,-0.115, , , , , , , , ,-0.137, , , , , , , , ,-0.117, , , , , , , , ,-0.142, , 
lag(jan2017reduc_olive,, , , , , ,0.017, , , , , , , , ,0.02, , , , , , , , ,-0.09, , , , , , , , ,-0.09, , 
  ,, , , , , ,-0.138, , , , , , , , ,-0.139, , , , , , , , ,-0.138, , , , , , , , ,-0.139, , 
lag(jan2016reduc,, , , , , , ,-0.023, , , , , , , , ,-0.004, , , , , , , , ,-0.057, , , , , , , , ,-0.103, 
  ,, , , , , , ,-0.15, , , , , , , , ,-0.172, , , , , , , , ,-0.145, , , , , , , , ,-0.175, 
lag(jan2016reduc_olive,, , , , , , ,0.027, , , , , , , , ,0.033, , , , , , , , ,-0.019, , , , , , , , ,-0.015, 
  ,, , , , , , ,-0.176, , , , , , , , ,-0.176, , , , , , , , ,-0.175, , , , , , , , ,-0.175, 
lag(jan2017reduc,, , , , , , ,0.002, , , , , , , , ,-0.02, , , , , , , , ,0.026, , , , , , , , ,0.067, 
  ,, , , , , , ,-0.119, , , , , , , , ,-0.143, , , , , , , , ,-0.116, , , , , , , , ,-0.146, 
lag(jan2017reduc_olive,, , , , , , ,0.026, , , , , , , , ,0.029, , , , , , , , ,-0.042, , , , , , , , ,-0.041, 
  ,, , , , , , ,-0.138, , , , , , , , ,-0.139, , , , , , , , ,-0.138, , , , , , , , ,-0.139, 
lag(jan2016reduc,, , , , , , , ,-0.004, , , , , , , , ,0.003, , , , , , , , ,-0.032, , , , , , , , ,-0.043
  ,, , , , , , , ,-0.154, , , , , , , , ,-0.147, , , , , , , , ,-0.15, , , , , , , , ,-0.158
lag(jan2016reduc_olive,, , , , , , , ,0.03, , , , , , , , ,0.037, , , , , , , , ,-0.034, , , , , , , , ,-0.027
  ,, , , , , , , ,-0.175, , , , , , , , ,-0.175, , , , , , , , ,-0.174, , , , , , , , ,-0.174
lag(jan2017reduc,, , , , , , , ,-0.01, , , , , , , , ,-0.026, , , , , , , , ,0.001, , , , , , , , ,0.01
  , , , , , , , , ,-0.123, , , , , , , , ,-0.127, , , , , , , , ,-0.12, , , , , , , , ,-0.137
lag(jan2017reduc_olive, 6) , , , , , , , ,0.037, , , , , , , , ,0.041, , , , , , , , ,0.015, , , , , , , , ,0.018
  , , , , , , , , ,-0.138, , , , , , , , ,-0.139, , , , , , , , ,-0.138, , , , , , , , ,-0.139
proccess_oil_p2012 , , , , , , , , , ,-0.004,-0.003,-0.004,-0.003,-0.001,0,-0.003,-0.007,-0.006, , , , , , , , , ,-0.006,-0.002,-0.004,-0.008,-0.005,-0.001,0.002,0.012,0.003
  , , , , , , , , , ,-0.072,-0.055,-0.054,-0.092,-0.084,-0.02,-0.023,-0.026,-0.02, , , , , , , , , ,-0.043,-0.039,-0.033,-0.053,-0.053,-0.024,-0.025,-0.027,-0.023
lvalue_added_tax , , , , , , , , , ,2.851,1.56,2.269,-1.413,-1.55,-1.506,-0.379,0.569,0.1, , , , , , , , , ,-7.952,-4.666,0.186,1.302,-0.406,-5.006,-6.917,-10.582,-10.489
  , , , , , , , , , ,-83.043,-67.16,-66.726,-102.696,-85.197,-23.1,-23.515,-23.063,-22.669, , , , , , , , , ,-50.517,-49.38,-42.815,-59.605,-55.537,-26.262,-24.585,-23.593,-24.941
lsalary_industry_worker , , , , , , , , , ,-0.266,-0.346,-0.106,-0.139,-0.051,0.04,0.082,0.042,0.068, , , , , , , , , ,0.004,-0.309,0.068,0.155,0.072,-0.25,-0.194,-0.026,-0.157
  , , , , , , , , , ,-4.339,-3.173,-2.984,-5.256,-4.083,-0.826,-0.86,-0.879,-0.86, , , , , , , , , ,-2.565,-2.287,-1.85,-2.99,-2.618,-1,-0.922,-0.912,-1.001
R^2 ,0.813,0.819,0.764,0.752,0.6,0.242,0.493,0.533,0.521,0.815,0.821,0.764,0.752,0.648,0.323,0.488,0.501,0.495,0.548,0.669,0.561,0.253,0.011,0.232,0.115,0.151,0.169,0.602,0.668,0.561,0.28,0.001,0.204,0.099,0.091,0.065
adj.R^2 ,0.812,0.819,0.763,0.751,0.599,0.239,0.491,0.531,0.519,0.814,0.82,0.762,0.751,0.646,0.319,0.485,0.498,0.492,0.546,0.668,0.559,0.25,0.008,0.23,0.112,0.148,0.166,0.6,0.666,0.558,0.276,-0.005,0.199,0.093,0.085,0.059
N ,1161,1160,1159,1160,1159,1158,1157,1156,1155,1161,1160,1159,1160,1159,1158,1157,1156,1155,1160,1159,1158,1159,1158,1157,1156,1155,1154,1160,1159,1158,1159,1158,1157,1156,1155,1154
Standard errors in parentheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.178378423,0.091682995,34.66704404,3.95E-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.311744535,0.19381048,-1.608501953,0.107998338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_olive,0.331198083,0.235632998,1.405567497,0.160121289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.053559835,0.042177495,1.269867609,0.204387347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_olive,-0.03752392,0.048794851,-0.769013919,0.442042134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.190200841,0.087296305,36.54451183,6.18E-195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.341209246,0.199826081,-1.707531091,0.087992124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 1)",0.360811665,0.232579171,1.551349863,0.121091814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.058445102,0.038191142,1.530331344,0.126208557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 1)",-0.052091291,0.045164843,-1.15335928,0.249001567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.134222308,0.099427315,31.52274919,7.65E-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.179056857,0.20667898,-0.866352526,0.386476956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 2)",0.198258811,0.259556262,0.763837519,0.445120213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.05647034,0.03536308,1.596872769,0.110567847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 2)",-0.059962159,0.04389054,-1.366175009,0.172150196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.124841589,0.105613498,29.58752086,1.16E-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.155411065,0.190564312,-0.815530795,0.414936686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 1)",0.169996629,0.260649779,0.652203233,0.514399844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.049743603,0.049145533,1.012169384,0.311669058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 1)",-0.031421496,0.055218578,-0.569038475,0.569440664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
